R,G,B,a1,a2,a3
9,177,26,1,1,1
6,186,24,1,1,1
6,186,24,1,1,1
9,177,26,1,1,1
0,190,27,1,1,1
0,250,37,1,1,1
8,176,22,1,1,1
0,190,27,1,1,1
16,172,19,1,1,1
9,177,26,1,1,1
1,181,29,1,1,1
11,167,24,1,1,1
13,181,17,1,1,1
0,234,37,1,1,1
10,166,20,1,1,1
4,184,16,1,1,1
13,181,17,1,1,1
6,186,24,1,1,1
17,173,23,1,1,1
10,178,30,1,1,1
13,181,42,1,1,1
21,189,24,1,1,1
9,189,36,1,1,1
16,184,29,1,1,1
10,202,25,1,1,1
10,202,25,1,1,1
3,207,32,1,1,1
14,194,31,1,1,1
6,198,34,1,1,1
0,200,29,1,1,1
4,196,26,1,1,1
15,183,25,1,1,1
13,193,27,1,1,1
2,206,28,1,1,1
6,198,34,1,1,1
6,198,34,1,1,1
14,194,31,1,1,1
17,185,33,1,1,1
9,189,36,1,1,1
7,127,53,1,1,1
7,151,0,1,1,1
7,139,13,1,1,1
0,142,12,1,1,1
0,147,19,1,1,1
0,147,19,1,1,1
0,142,12,1,1,1
0,142,12,1,1,1
9,129,11,1,1,1
0,142,12,1,1,1
0,142,12,1,1,1
0,142,12,1,1,1
2,134,18,1,1,1
0,151,10,1,1,1
9,129,11,1,1,1
0,142,12,1,1,1
2,134,18,1,1,1
9,129,11,1,1,1
6,138,9,1,1,1
0,142,12,1,1,1
2,134,18,1,1,1
0,156,17,1,1,1
0,220,18,1,1,1
9,129,11,1,1,1
0,143,16,1,1,1
0,143,16,1,1,1
0,147,19,1,1,1
0,143,16,1,1,1
0,142,12,1,1,1
0,142,12,1,1,1
9,129,11,1,1,1
6,138,9,1,1,1
0,147,19,1,1,1
0,143,16,1,1,1
2,134,18,1,1,1
6,138,9,1,1,1
2,134,18,1,1,1
6,138,9,1,1,1
9,129,11,1,1,1
2,134,18,1,1,0
0,156,17,1,1,0
2,134,18,1,1,0
16,136,0,1,1,0
0,156,17,1,1,0
9,129,11,1,1,0
0,142,12,1,1,0
0,156,17,1,1,0
2,134,18,1,1,0
0,156,17,1,1,0
0,143,16,1,1,0
24,84,21,1,1,0
9,129,11,1,1,0
0,143,16,1,1,0
9,129,11,1,1,0
0,147,19,1,1,0
6,138,9,1,1,0
0,147,19,1,1,0
0,147,19,1,1,0
0,156,17,1,1,0
0,143,16,1,1,0
9,129,11,1,1,0
9,129,11,1,1,0
